time,longitude,latitude
2016-02-10 07:02:00,-15.02137,-30.207192
2016-02-10 07:03:00,-15.020212,-30.207077
2016-02-10 07:04:00,-15.019047,-30.206968
2016-02-10 07:05:00,-15.01789,-30.206803
2016-02-10 07:06:00,-15.016708,-30.20668
2016-02-10 07:07:00,-15.015518,-30.206543
2016-02-10 07:08:00,-15.014325,-30.206405
2016-02-10 07:09:00,-15.013128,-30.206262
2016-02-10 07:10:00,-15.011908,-30.206122
2016-02-10 07:11:00,-15.01069,-30.206005
2016-02-10 07:12:00,-15.009473,-30.205858
2016-02-10 07:13:00,-15.008257,-30.20575
2016-02-10 07:14:00,-15.007033,-30.205637
2016-02-10 07:15:00,-15.005817,-30.205507
2016-02-10 07:16:00,-15.004615,-30.205323
2016-02-10 07:17:00,-15.00343,-30.205195
2016-02-10 07:18:00,-15.002223,-30.205098
2016-02-10 07:19:00,-15.001027,-30.20497
2016-02-10 07:20:00,-14.999833,-30.204848
2016-02-10 07:21:00,-14.998652,-30.204707
2016-02-10 07:22:00,-14.997457,-30.204583
2016-02-10 07:23:00,-14.996267,-30.204452
2016-02-10 07:24:00,-14.995073,-30.204308
2016-02-10 07:25:00,-14.993882,-30.204162
2016-02-10 07:26:00,-14.992688,-30.204035
2016-02-10 07:27:00,-14.991498,-30.203925
2016-02-10 07:28:00,-14.990318,-30.203797
2016-02-10 07:29:00,-14.989147,-30.20365
2016-02-10 07:30:00,-14.98797,-30.203517
2016-02-10 07:31:00,-14.986808,-30.203375
2016-02-10 07:32:00,-14.985662,-30.203227
2016-02-10 07:33:00,-14.984502,-30.2031
2016-02-10 07:34:00,-14.98333,-30.202947
2016-02-10 07:35:00,-14.982148,-30.202823
2016-02-10 07:36:00,-14.980965,-30.202707
2016-02-10 07:37:00,-14.97979,-30.202588
2016-02-10 07:38:00,-14.978593,-30.202423
2016-02-10 07:39:00,-14.97734,-30.202307
2016-02-10 07:40:00,-14.976035,-30.202165
2016-02-10 07:41:00,-14.97472,-30.202023
2016-02-10 07:42:00,-14.973372,-30.20187
2016-02-10 07:43:00,-14.972022,-30.201712
2016-02-10 07:44:00,-14.970663,-30.201578
2016-02-10 07:45:00,-14.969292,-30.20145
2016-02-10 07:46:00,-14.96793,-30.201278
2016-02-10 07:47:00,-14.966575,-30.201137
2016-02-10 07:48:00,-14.965227,-30.200973
2016-02-10 07:49:00,-14.963892,-30.20084
2016-02-10 07:50:00,-14.962555,-30.200687
2016-02-10 07:51:00,-14.961207,-30.200557
2016-02-10 07:52:00,-14.959863,-30.200368
2016-02-10 07:53:00,-14.958502,-30.200223
2016-02-10 07:54:00,-14.957128,-30.200105
2016-02-10 07:55:00,-14.955762,-30.19994
2016-02-10 07:56:00,-14.954403,-30.199805
2016-02-10 07:57:00,-14.953055,-30.199637
2016-02-10 07:58:00,-14.951705,-30.1995
2016-02-10 07:59:00,-14.950335,-30.199337
2016-02-10 08:00:00,-14.948972,-30.19919
2016-02-10 08:01:00,-14.947593,-30.199045
2016-02-10 08:02:00,-14.946213,-30.198892
2016-02-10 08:03:00,-14.944847,-30.198747
2016-02-10 08:04:00,-14.94349,-30.198608
2016-02-10 08:05:00,-14.942137,-30.198448
2016-02-10 08:06:00,-14.940785,-30.198308
2016-02-10 08:07:00,-14.939443,-30.198157
2016-02-10 08:08:00,-14.938102,-30.197988
2016-02-10 08:09:00,-14.93676,-30.197873
2016-02-10 08:10:00,-14.935417,-30.197727
2016-02-10 08:11:00,-14.934097,-30.197563
2016-02-10 08:12:00,-14.93276,-30.197443
2016-02-10 08:13:00,-14.931412,-30.197322
2016-02-10 08:14:00,-14.930057,-30.19719
2016-02-10 08:15:00,-14.928697,-30.197033
2016-02-10 08:16:00,-14.927343,-30.196875
2016-02-10 08:17:00,-14.926002,-30.196687
2016-02-10 08:18:00,-14.924655,-30.196557
2016-02-10 08:19:00,-14.923312,-30.196428
2016-02-10 08:20:00,-14.921982,-30.196303
2016-02-10 08:21:00,-14.920643,-30.196157
2016-02-10 08:22:00,-14.919312,-30.196008
2016-02-10 08:23:00,-14.917977,-30.195865
2016-02-10 08:24:00,-14.916648,-30.195717
2016-02-10 08:25:00,-14.915317,-30.195568
2016-02-10 08:26:00,-14.913987,-30.195447
2016-02-10 08:27:00,-14.91265,-30.195322
2016-02-10 08:28:00,-14.911303,-30.195162
2016-02-10 08:29:00,-14.909963,-30.195012
2016-02-10 08:30:00,-14.908618,-30.194873
2016-02-10 08:31:00,-14.907278,-30.194702
2016-02-10 08:32:00,-14.90592,-30.194567
2016-02-10 08:33:00,-14.904542,-30.194433
2016-02-10 08:34:00,-14.903157,-30.194258
2016-02-10 08:35:00,-14.90176,-30.19411
2016-02-10 08:36:00,-14.900355,-30.193987
2016-02-10 08:37:00,-14.898995,-30.19382
2016-02-10 08:38:00,-14.897658,-30.193645
2016-02-10 08:39:00,-14.89631,-30.193522
2016-02-10 08:40:00,-14.894978,-30.19337
2016-02-10 08:41:00,-14.893632,-30.19323
2016-02-10 08:42:00,-14.892302,-30.193083
2016-02-10 08:43:00,-14.890987,-30.192943
2016-02-10 08:44:00,-14.889667,-30.192812
2016-02-10 08:45:00,-14.88834,-30.192685
2016-02-10 08:46:00,-14.887013,-30.192543
2016-02-10 08:47:00,-14.885678,-30.192408
2016-02-10 08:48:00,-14.88435,-30.192227
2016-02-10 08:49:00,-14.883012,-30.192098
2016-02-10 08:50:00,-14.881667,-30.191935
2016-02-10 08:51:00,-14.880332,-30.191785
2016-02-10 08:52:00,-14.878997,-30.19163
2016-02-10 08:53:00,-14.877655,-30.191518
2016-02-10 08:54:00,-14.876318,-30.191367
2016-02-10 08:55:00,-14.874973,-30.191232
2016-02-10 08:56:00,-14.87362,-30.191078
2016-02-10 08:57:00,-14.872278,-30.190935
2016-02-10 08:58:00,-14.87095,-30.190773
2016-02-10 08:59:00,-14.86962,-30.190653
2016-02-10 09:00:00,-14.868278,-30.19048
2016-02-10 09:01:00,-14.866935,-30.190342
2016-02-10 09:02:00,-14.865585,-30.190197
2016-02-10 09:03:00,-14.864228,-30.190048
2016-02-10 09:04:00,-14.862898,-30.189905
2016-02-10 09:05:00,-14.861568,-30.189778
2016-02-10 09:06:00,-14.860238,-30.189628
2016-02-10 09:07:00,-14.858912,-30.189488
2016-02-10 09:08:00,-14.857585,-30.189308
2016-02-10 09:09:00,-14.856253,-30.189207
2016-02-10 09:10:00,-14.854925,-30.189047
2016-02-10 09:11:00,-14.853587,-30.18889
2016-02-10 09:12:00,-14.852242,-30.18875
2016-02-10 09:13:00,-14.850905,-30.188617
2016-02-10 09:14:00,-14.849562,-30.188448
2016-02-10 09:15:00,-14.848212,-30.18832
2016-02-10 09:16:00,-14.846882,-30.188125
2016-02-10 09:17:00,-14.845535,-30.188015
2016-02-10 09:18:00,-14.844183,-30.187853
2016-02-10 09:19:00,-14.842822,-30.187732
2016-02-10 09:20:00,-14.841465,-30.18759
2016-02-10 09:21:00,-14.840105,-30.18744
2016-02-10 09:22:00,-14.838753,-30.187267
2016-02-10 09:23:00,-14.837398,-30.18713
2016-02-10 09:24:00,-14.836037,-30.186987
2016-02-10 09:25:00,-14.83468,-30.186817
2016-02-10 09:26:00,-14.833335,-30.186653
2016-02-10 09:27:00,-14.831958,-30.186507
2016-02-10 09:28:00,-14.830583,-30.186373
2016-02-10 09:29:00,-14.829218,-30.186172
2016-02-10 09:30:00,-14.827857,-30.18605
2016-02-10 09:31:00,-14.826497,-30.185905
2016-02-10 09:32:00,-14.825145,-30.185737
2016-02-10 09:33:00,-14.823777,-30.185598
2016-02-10 09:34:00,-14.822415,-30.18544
2016-02-10 09:35:00,-14.821053,-30.185285
2016-02-10 09:36:00,-14.819703,-30.185133
2016-02-10 09:37:00,-14.81834,-30.185015
2016-02-10 09:38:00,-14.81698,-30.184838
2016-02-10 09:39:00,-14.815632,-30.184688
2016-02-10 09:40:00,-14.81429,-30.184535
2016-02-10 09:41:00,-14.812952,-30.184392
2016-02-10 09:42:00,-14.811605,-30.184257
2016-02-10 09:43:00,-14.810267,-30.184092
2016-02-10 09:44:00,-14.808937,-30.183968
2016-02-10 09:45:00,-14.807595,-30.183817
2016-02-10 09:46:00,-14.80626,-30.183657
2016-02-10 09:47:00,-14.804927,-30.18353
2016-02-10 09:48:00,-14.803588,-30.183393
2016-02-10 09:49:00,-14.802248,-30.183248
2016-02-10 09:50:00,-14.800918,-30.183112
2016-02-10 09:51:00,-14.799603,-30.182943
2016-02-10 09:52:00,-14.79829,-30.182782
2016-02-10 09:53:00,-14.796975,-30.182677
2016-02-10 09:54:00,-14.795673,-30.1825
2016-02-10 09:55:00,-14.794378,-30.182382
2016-02-10 09:56:00,-14.793083,-30.182237
2016-02-10 09:57:00,-14.791802,-30.182073
2016-02-10 09:58:00,-14.790512,-30.181962
2016-02-10 09:59:00,-14.789217,-30.181812
2016-02-10 10:00:00,-14.787913,-30.181682
2016-02-10 10:01:00,-14.786633,-30.18151
2016-02-10 10:02:00,-14.785345,-30.181345
2016-02-10 10:03:00,-14.78404,-30.181257
2016-02-10 10:04:00,-14.782727,-30.181112
2016-02-10 10:05:00,-14.781427,-30.180972
2016-02-10 10:06:00,-14.780135,-30.180825
2016-02-10 10:07:00,-14.778838,-30.180673
2016-02-10 10:08:00,-14.777522,-30.180538
2016-02-10 10:09:00,-14.776203,-30.180395
2016-02-10 10:10:00,-14.774882,-30.180267
2016-02-10 10:11:00,-14.773592,-30.180108
2016-02-10 10:12:00,-14.772277,-30.179952
2016-02-10 10:13:00,-14.770972,-30.179798
2016-02-10 10:14:00,-14.769642,-30.179632
2016-02-10 10:15:00,-14.768293,-30.179513
2016-02-10 10:16:00,-14.766942,-30.17937
2016-02-10 10:17:00,-14.765607,-30.179202
2016-02-10 10:18:00,-14.764263,-30.179057
2016-02-10 10:19:00,-14.762907,-30.178888
2016-02-10 10:20:00,-14.761565,-30.178728
2016-02-10 10:21:00,-14.76022,-30.1786
2016-02-10 10:22:00,-14.758855,-30.178467
