Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Ricardo Arguello,M,,,,Mexico,1932,Athletics Men's 400 meters,
Vadim Arkhipchuk,M,27.0,182.0,75.0,Soviet Union,1964,Athletics Men's 400 meters,
douard B. Armand,M,,,,Haiti,1924,Athletics Men's 400 meters,
Gary Armstrong,M,20.0,181.0,65.0,Great Britain,1972,Athletics Men's 400 meters,
Marcel Arnold,M,22.0,183.0,78.0,Switzerland,1984,Athletics Men's 400 meters,
John Asare-Antwi,M,24.0,177.0,65.0,Ghana,1960,Athletics Men's 400 meters,
Charles Asati,M,26.0,178.0,68.0,Kenya,1972,Athletics Men's 400 meters,
Victor Asirvatham,M,28.0,168.0,60.0,Malaysia,1968,Athletics Men's 400 meters,
Jos Nicols Astacio,M,21.0,166.0,49.0,El Salvador,1968,Athletics Men's 400 meters,
Arthur Astley,M,27.0,,,Great Britain,1908,Athletics Men's 400 meters,
"Erik Johannes ""sa"" strm",M,22.0,,,Finland,1924,Athletics Men's 400 meters,
Casimiro Asumu Nze,M,21.0,,,Equatorial Guinea,1996,Athletics Men's 400 meters,
John Cox Atlee,M,25.0,180.0,66.0,United States,1908,Athletics Men's 400 meters,
Alessandro Attene,M,23.0,183.0,75.0,Italy,2000,Athletics Men's 400 meters,
James A. Atuti,M,30.0,188.0,80.0,Kenya,1984,Athletics Men's 400 meters,
Nduka Awazie,M,19.0,172.0,74.0,Nigeria,2000,Athletics Men's 400 meters,
Horace Godwin Tracy Aylwin,M,21.0,,,Canada,1924,Athletics Men's 400 meters,
Silver Ayoo,M,21.0,188.0,72.0,Uganda,1972,Athletics Men's 400 meters,
Silver Ayoo,M,29.0,188.0,72.0,Uganda,1980,Athletics Men's 400 meters,
Sanjay Claude Ayre,M,28.0,188.0,84.0,Jamaica,2008,Athletics Men's 400 meters,
Alonzo Carl Babers,M,22.0,188.0,70.0,United States,1984,Athletics Men's 400 meters,Gold
Subul Babo,M,26.0,175.0,65.0,Papua New Guinea,1992,Athletics Men's 400 meters,
Subul Babo,M,30.0,175.0,65.0,Papua New Guinea,1996,Athletics Men's 400 meters,
Rolf Erik Vilhelm Back,M,24.0,185.0,69.0,Finland,1952,Athletics Men's 400 meters,
"Charles James Bacon, Jr.",M,21.0,183.0,77.0,United States,1906,Athletics Men's 400 meters,
Sunday Bada,M,23.0,188.0,79.0,Nigeria,1992,Athletics Men's 400 meters,
Sunday Bada,M,27.0,188.0,79.0,Nigeria,1996,Athletics Men's 400 meters,
Sunday Bada,M,31.0,188.0,79.0,Nigeria,2000,Athletics Men's 400 meters,
Andrzej Stanisaw Badeski,M,21.0,173.0,68.0,Poland,1964,Athletics Men's 400 meters,Bronze
Andrzej Stanisaw Badeski,M,25.0,173.0,68.0,Poland,1968,Athletics Men's 400 meters,
Andrzej Stanisaw Badeski,M,29.0,173.0,68.0,Poland,1972,Athletics Men's 400 meters,
"Andretti ""Dretti"" Bain",M,22.0,175.0,65.0,Bahamas,2008,Athletics Men's 400 meters,
Salaheddine Bakar Al-Safi,M,20.0,185.0,68.0,Qatar,2000,Athletics Men's 400 meters,
Jan Balachowski,M,19.0,183.0,76.0,Poland,1968,Athletics Men's 400 meters,
Sean Michael Baldock,M,23.0,173.0,73.0,Great Britain,2000,Athletics Men's 400 meters,
"James Allan ""Jimmy"" Ball",M,25.0,180.0,69.0,Canada,1928,Athletics Men's 400 meters,Silver
"James Allan ""Jimmy"" Ball",M,29.0,180.0,69.0,Canada,1932,Athletics Men's 400 meters,
tefan Balok,M,23.0,181.0,72.0,Slovakia,1996,Athletics Men's 400 meters,
tefan Balok,M,27.0,181.0,72.0,Slovakia,2000,Athletics Men's 400 meters,
Lewis Simon Banda,M,21.0,170.0,65.0,Zimbabwe,2004,Athletics Men's 400 meters,
Lewis Simon Banda,M,25.0,170.0,65.0,Zimbabwe,2008,Athletics Men's 400 meters,
Ferenc Bnhalmi,M,25.0,172.0,64.0,Hungary,1948,Athletics Men's 400 meters,
Ferenc Bnhalmi,M,29.0,172.0,64.0,Hungary,1952,Athletics Men's 400 meters,
Purma C. Bannerjee,M,,,,India,1920,Athletics Men's 400 meters,
"Raymond James ""Ray"" Barbuti",M,22.0,183.0,82.0,United States,1928,Athletics Men's 400 meters,Gold
Nigel Chase Barker,M,23.0,,,Australia,1906,Athletics Men's 400 meters,Bronze
Daundre Barnaby,M,21.0,189.0,75.0,Canada,2012,Athletics Men's 400 meters,
Lszl Barsi (Tomaschek-),M,23.0,,,Hungary,1928,Athletics Men's 400 meters,
Johann Bartl,M,22.0,,,Czechoslovakia,1928,Athletics Men's 400 meters,
John Lavers Bartram,M,23.0,173.0,68.0,Australia,1948,Athletics Men's 400 meters,
Daniel Batman,M,19.0,171.0,71.0,Australia,2000,Athletics Men's 400 meters,
"James Steven ""Jamie"" Baulch (Mills-)",M,27.0,173.0,71.0,Great Britain,2000,Athletics Men's 400 meters,
Ajanew Bayene,M,20.0,,,Ethiopia,1956,Athletics Men's 400 meters,
Eugne Bayon,M,,,,France,1920,Athletics Men's 400 meters,
Martin Beckmann,M,21.0,,,Germany,1906,Athletics Men's 400 meters,
Alan Richard Bell,M,23.0,190.0,82.0,Great Britain,1980,Athletics Men's 400 meters,
Marc Bellin du Coteau,M,22.0,,,France,1906,Athletics Men's 400 meters,
Sergio Bello,M,22.0,178.0,70.0,Italy,1964,Athletics Men's 400 meters,
Sergio Bello,M,26.0,178.0,70.0,Italy,1968,Athletics Men's 400 meters,
Jean-Didiace Bmou,M,25.0,184.0,71.0,Congo (Brazzaville),1984,Athletics Men's 400 meters,
Jean-Didiace Bmou,M,29.0,184.0,71.0,Congo (Brazzaville),1988,Athletics Men's 400 meters,
Lahlou Ben Youns,M,27.0,180.0,75.0,Morocco,1992,Athletics Men's 400 meters,
"Timothy David ""Tim"" Benjamin",M,22.0,183.0,76.0,Great Britain,2004,Athletics Men's 400 meters,
Todd Anthony Bennett,M,22.0,170.0,64.0,Great Britain,1984,Athletics Men's 400 meters,
Todd Anthony Bennett,M,26.0,170.0,64.0,Great Britain,1988,Athletics Men's 400 meters,
Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,1964,Athletics Men's 400 meters,
Giuseppe Bernardoni,M,,,,Italy,1920,Athletics Men's 400 meters,
Gilles Bertould,M,19.0,176.0,63.0,France,1968,Athletics Men's 400 meters,
Gilles Bertould,M,23.0,176.0,63.0,France,1972,Athletics Men's 400 meters,
Anas Beshr,M,23.0,,,Egypt,2016,Athletics Men's 400 meters,
"Timothy ""Tim"" Bethune",M,22.0,187.0,82.0,Canada,1984,Athletics Men's 400 meters,
"Lawrence Butler Bradford ""Toby"" Betts",M,19.0,,,South Africa,1924,Athletics Men's 400 meters,
Tegegne Bezabeh,M,23.0,183.0,65.0,Ethiopia,1964,Athletics Men's 400 meters,
Tegegne Bezabeh,M,27.0,183.0,65.0,Ethiopia,1968,Athletics Men's 400 meters,
Tegegne Bezabeh,M,30.0,183.0,65.0,Ethiopia,1972,Athletics Men's 400 meters,
Gyan Prakash Bhalla,M,26.0,,,India,1936,Athletics Men's 400 meters,
Martial Biguet,M,21.0,183.0,68.0,Central African Republic,1992,Athletics Men's 400 meters,
Martial Biguet,M,25.0,183.0,68.0,Central African Republic,1996,Athletics Men's 400 meters,
Abdul Rahim bin Ahmed,M,23.0,,,Malaya,1956,Athletics Men's 400 meters,
Klemens Biniakowski,M,25.0,172.0,62.0,Poland,1928,Athletics Men's 400 meters,
Kalayathumkuzhi Mathews Binu,M,23.0,172.0,61.0,India,2004,Athletics Men's 400 meters,
Kimitene Biyago,M,21.0,,72.0,Chad,1996,Athletics Men's 400 meters,
Roger Anthony Black,M,26.0,190.0,79.0,Great Britain,1992,Athletics Men's 400 meters,
Roger Anthony Black,M,30.0,190.0,79.0,Great Britain,1996,Athletics Men's 400 meters,Silver
Stuart Alexander Black,M,24.0,,,New Zealand,1932,Athletics Men's 400 meters,
Michael Blackwood,M,25.0,190.0,79.0,Jamaica,2004,Athletics Men's 400 meters,
Michael Blackwood,M,29.0,190.0,79.0,Jamaica,2008,Athletics Men's 400 meters,
Clyde Amel Blair,M,22.0,,,United States,1904,Athletics Men's 400 meters,
Dennis Anthony Blake,M,21.0,186.0,70.0,Jamaica,1992,Athletics Men's 400 meters,
Hermann Matthias Blazejczak,M,24.0,179.0,76.0,Germany,1936,Athletics Men's 400 meters,
Rupert Blch,M,23.0,,,Austria,1952,Athletics Men's 400 meters,
Dixon H. Boardman,M,20.0,,,United States,1900,Athletics Men's 400 meters,
Jean-Pierre Boccardo,M,22.0,188.0,72.0,France,1964,Athletics Men's 400 meters,
dn Bodor (Krausz-),M,30.0,,,Hungary,1912,Athletics Men's 400 meters,
Glenn Bogue,M,20.0,173.0,67.0,Canada,1976,Athletics Men's 400 meters,
Raymond Boisset,M,24.0,171.0,72.0,France,1936,Athletics Men's 400 meters,
Geoffrey Sila Kibet Boit,M,,,,Kenya,1956,Athletics Men's 400 meters,
"David Benjamin ""Dave"" Bolen",M,24.0,175.0,68.0,United States,1948,Athletics Men's 400 meters,
Jakob Pehr Anatole Dedekind Bolin,M,26.0,,,Sweden,1920,Athletics Men's 400 meters,
"Willem Victor ""Wim"" Bolten",M,23.0,,,Netherlands,1924,Athletics Men's 400 meters,
Giuseppe Bommarito,M,26.0,172.0,64.0,Italy,1960,Athletics Men's 400 meters,
Naftali Bon,M,23.0,177.0,61.0,Kenya,1968,Athletics Men's 400 meters,
Liemarvin Bonevacia,M,23.0,185.0,74.0,Individual Olympic Athletes,2012,Athletics Men's 400 meters,
Liemarvin Bonevacia,M,27.0,185.0,74.0,Netherlands,2016,Athletics Men's 400 meters,
Schalk David Booysen,M,24.0,,,South Africa,1952,Athletics Men's 400 meters,
Secundino Borabota Epacua,M,23.0,172.0,71.0,Equatorial Guinea,1984,Athletics Men's 400 meters,
Jacques Borle,M,22.0,180.0,72.0,Belgium,1980,Athletics Men's 400 meters,
Jonathan Borle,M,20.0,180.0,69.0,Belgium,2008,Athletics Men's 400 meters,
Jonathan Borle,M,24.0,180.0,69.0,Belgium,2012,Athletics Men's 400 meters,
Jonathan Borle,M,28.0,180.0,69.0,Belgium,2016,Athletics Men's 400 meters,
Kvin Borle,M,20.0,180.0,67.0,Belgium,2008,Athletics Men's 400 meters,
Kvin Borle,M,24.0,180.0,67.0,Belgium,2012,Athletics Men's 400 meters,
Kvin Borle,M,28.0,180.0,67.0,Belgium,2016,Athletics Men's 400 meters,
Slobodan Brankovi,M,20.0,190.0,82.0,Yugoslavia,1988,Athletics Men's 400 meters,
Slobodan Brankovi,M,24.0,190.0,82.0,Individual Olympic Athletes,1992,Athletics Men's 400 meters,
Gsta Martin Brnnstrm,M,25.0,,,Sweden,1952,Athletics Men's 400 meters,
"Johannes ""Hanns"" Braun",M,25.0,180.0,68.0,Germany,1912,Athletics Men's 400 meters,Silver
