Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
"Edmund Franklin ""Ed"" Black",M,23.0,178.0,75.0,United States,1928,Athletics Men's Hammer Throw,Bronze
Erwin Blask,M,26.0,180.0,97.0,Germany,1936,Athletics Men's Hammer Throw,Silver
Anatoliy Pavlovych Bondarchuk,M,32.0,183.0,113.0,Soviet Union,1972,Athletics Men's Hammer Throw,Gold
Anatoliy Pavlovych Bondarchuk,M,36.0,183.0,113.0,Soviet Union,1976,Athletics Men's Hammer Throw,Bronze
Pavel Gennadyevich Boreysha,M,25.0,193.0,120.0,Belarus,2016,Athletics Men's Hammer Throw,
Jrme Bortoluzzi,M,30.0,182.0,110.0,France,2012,Athletics Men's Hammer Throw,
"Edward Andrew ""Ed"" Burke",M,24.0,185.0,112.0,United States,1964,Athletics Men's Hammer Throw,
"Edward Andrew ""Ed"" Burke",M,28.0,185.0,112.0,United States,1968,Athletics Men's Hammer Throw,
"Edward Andrew ""Ed"" Burke",M,44.0,185.0,112.0,United States,1984,Athletics Men's Hammer Throw,
Kjell Erik Bystedt,M,28.0,189.0,120.0,Sweden,1988,Athletics Men's Hammer Throw,
John A. Cameron,M,,,,Canada,1920,Athletics Men's Hammer Throw,
Giovanni Cantagalli,M,22.0,,,Italy,1936,Athletics Men's Hammer Throw,
Denis Carey,M,39.0,,,Great Britain,1912,Athletics Men's Hammer Throw,
Sean William Carlin,M,24.0,198.0,110.0,Australia,1992,Athletics Men's Hammer Throw,
Sean William Carlin,M,28.0,198.0,110.0,Australia,1996,Athletics Men's Hammer Throw,
"Kenneth Harry ""Ken"" Caskey",M,23.0,175.0,68.0,United States,1928,Athletics Men's Hammer Throw,
Lutz Caspers,M,25.0,189.0,100.0,West Germany,1968,Athletics Men's Hammer Throw,
Poul Parno Cederquist,M,32.0,,,Denmark,1948,Athletics Men's Hammer Throw,
Poul Parno Cederquist,M,36.0,,,Denmark,1952,Athletics Men's Hammer Throw,
Juan Ignacio Cerra,M,23.0,180.0,100.0,Argentina,2000,Athletics Men's Hammer Throw,
Juan Ignacio Cerra,M,27.0,180.0,100.0,Argentina,2004,Athletics Men's Hammer Throw,
