Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
Grace Birungi,F,22.0,164.0,48.0,Uganda,1996,Athletics Women's 400 meters,
Barbara Bishop (-Bovell),F,16.0,,,Barbados,1972,Athletics Women's 400 meters,
Carlon Blackman,F,19.0,162.0,59.0,Barbados,1984,Athletics Women's 400 meters,
Helen Blake,F,25.0,170.0,52.0,Jamaica,1976,Athletics Women's 400 meters,
Bo Fanfang,F,26.0,172.0,62.0,China,2004,Athletics Women's 400 meters,
Lillian Barbara Board,F,19.0,168.0,60.0,Great Britain,1968,Athletics Women's 400 meters,Silver
Svetlana Aleksandrovna Bodritskaya,F,24.0,171.0,54.0,Kazakhstan,1996,Athletics Women's 400 meters,
Svetlana Aleksandrovna Bodritskaya,F,28.0,171.0,54.0,Kazakhstan,2000,Athletics Women's 400 meters,
Svetlana Aleksandrovna Bodritskaya,F,32.0,171.0,54.0,Kazakhstan,2004,Athletics Women's 400 meters,
Olajumoke Bodunrin,F,23.0,152.0,44.0,Nigeria,1968,Athletics Women's 400 meters,
Aauri Lorena Bokesa Abia,F,23.0,180.0,62.0,Spain,2012,Athletics Women's 400 meters,
Aauri Lorena Bokesa Abia,F,27.0,180.0,62.0,Spain,2016,Athletics Women's 400 meters,
Christine Botlogetswe,F,20.0,170.0,65.0,Botswana,2016,Athletics Women's 400 meters,
Rita Bottiglieri,F,23.0,170.0,62.0,Italy,1976,Athletics Women's 400 meters,
Marime Boye,F,23.0,170.0,58.0,Senegal,1980,Athletics Women's 400 meters,
Christina Brehmer-Lathan,F,18.0,169.0,57.0,East Germany,1976,Athletics Women's 400 meters,Silver
Christina Brehmer-Lathan,F,22.0,169.0,57.0,East Germany,1980,Athletics Women's 400 meters,Bronze
Grit Breuer (-Springstein),F,24.0,168.0,63.0,Germany,1996,Athletics Women's 400 meters,
Valerie Ann Brisco-Hooks,F,24.0,170.0,62.0,United States,1984,Athletics Women's 400 meters,Gold
Valerie Ann Brisco-Hooks,F,28.0,170.0,62.0,United States,1988,Athletics Women's 400 meters,
Alicia Brown,F,26.0,165.0,57.0,Canada,2016,Athletics Women's 400 meters,
Sandra Elizabeth Brown (-Webb),F,22.0,180.0,70.0,Australia,1968,Athletics Women's 400 meters,
Rosalyn Evette Bryant (-Clark),F,20.0,165.0,57.0,United States,1976,Athletics Women's 400 meters,
Olha Arkadivna Bryzhina (Vladykina-),F,25.0,171.0,63.0,Soviet Union,1988,Athletics Women's 400 meters,Gold
Olha Arkadivna Bryzhina (Vladykina-),F,29.0,171.0,63.0,Unified Team,1992,Athletics Women's 400 meters,Silver
Elanga Buala,F,20.0,163.0,50.0,Papua New Guinea,1984,Athletics Women's 400 meters,
Makelesi Bulikiobo-Batimala,F,26.0,181.0,65.0,Fiji,2004,Athletics Women's 400 meters,
Makelesi Bulikiobo-Batimala,F,30.0,181.0,65.0,Fiji,2008,Athletics Women's 400 meters,
Seren Bundy-Davies,F,21.0,175.0,63.0,Great Britain,2016,Athletics Women's 400 meters,
Jitka Burianov,F,23.0,174.0,57.0,Czech Republic,2000,Athletics Women's 400 meters,
Verna Jaye Burnard,F,19.0,169.0,55.0,Australia,1976,Athletics Women's 400 meters,
"Margarete ""Margret"" Buscher",F,26.0,168.0,62.0,Germany,1964,Athletics Women's 400 meters,
"Gabriele ""Gaby"" Bumann",F,24.0,170.0,57.0,West Germany,1984,Athletics Women's 400 meters,
Lilian Bwalya,F,25.0,,,Zambia,2000,Athletics Women's 400 meters,
Juliet Jean Campbell,F,22.0,178.0,62.0,Jamaica,1992,Athletics Women's 400 meters,
Juliet Jean Campbell,F,26.0,178.0,62.0,Jamaica,1996,Athletics Women's 400 meters,
Rachelle Campbell (-Clausen),F,19.0,178.0,63.0,Canada,1976,Athletics Women's 400 meters,
"Judith ""Judy"" Canty (-Peckham)",F,25.0,177.0,61.0,Australia,1976,Athletics Women's 400 meters,
Norfalia Carabal Villegas,F,24.0,162.0,49.0,Colombia,1988,Athletics Women's 400 meters,
Norfalia Carabal Villegas,F,28.0,162.0,49.0,Colombia,1992,Athletics Women's 400 meters,
Norfalia Carabal Villegas,F,36.0,162.0,49.0,Spain,2000,Athletics Women's 400 meters,
Christiane Casapicola-Wildschek,F,22.0,178.0,65.0,Austria,1976,Athletics Women's 400 meters,
Liliana Carmen Chal Das,F,33.0,165.0,48.0,Ecuador,1988,Athletics Women's 400 meters,
Chang Feng-Hua,F,20.0,167.0,56.0,Chinese Taipei,1988,Athletics Women's 400 meters,
Afia Neliah Charles,F,20.0,170.0,57.0,Antigua and Barbuda,2012,Athletics Women's 400 meters,
Samruay Charonggool,F,20.0,160.0,50.0,Thailand,1964,Athletics Women's 400 meters,
"Chandra Danette Cheeseborough (-Shellman, -Guice)",F,25.0,165.0,58.0,United States,1984,Athletics Women's 400 meters,Silver
Tekla Chemabwai,F,18.0,160.0,49.0,Kenya,1968,Athletics Women's 400 meters,
Tekla Chemabwai,F,22.0,160.0,49.0,Kenya,1972,Athletics Women's 400 meters,
Lyudmila Alekseyevna Chernova (-Zenina),F,25.0,165.0,56.0,Soviet Union,1980,Athletics Women's 400 meters,
Maria Benedicta Chigbolu,F,27.0,172.0,55.0,Italy,2016,Athletics Women's 400 meters,
Anna Chmelkov (Blanrikov-),F,24.0,169.0,57.0,Czechoslovakia,1968,Athletics Women's 400 meters,
Kendra Clarke,F,19.0,167.0,56.0,Canada,2016,Athletics Women's 400 meters,
