Name,Sex,Age,Height,Weight,Team,Year,Medal,BMI
Casimiro Asumu Nze,M,21.0,,,Equatorial Guinea,1996,,
John Cox Atlee,M,25.0,180.0,66.0,United States,1908,,20.37037037037037
Alessandro Attene,M,23.0,183.0,75.0,Italy,2000,,22.39541341933172
James A. Atuti,M,30.0,188.0,80.0,Kenya,1984,,22.634676324128566
Nduka Awazie,M,19.0,172.0,74.0,Nigeria,2000,,25.01352082206598
Horace Godwin Tracy Aylwin,M,21.0,,,Canada,1924,,
Silver Ayoo,M,21.0,188.0,72.0,Uganda,1972,,20.371208691715708
Silver Ayoo,M,29.0,188.0,72.0,Uganda,1980,,20.371208691715708
Sanjay Claude Ayre,M,28.0,188.0,84.0,Jamaica,2008,,23.766410140334994
Alonzo Carl Babers,M,22.0,188.0,70.0,United States,1984,Gold,19.805341783612494
Subul Babo,M,26.0,175.0,65.0,Papua New Guinea,1992,,21.224489795918366
Subul Babo,M,30.0,175.0,65.0,Papua New Guinea,1996,,21.224489795918366
Rolf Erik Vilhelm Back,M,24.0,185.0,69.0,Finland,1952,,20.160701241782323
"Charles James Bacon, Jr.",M,21.0,183.0,77.0,United States,1906,,22.992624443847234
Sunday Bada,M,23.0,188.0,79.0,Nigeria,1992,,22.351742870076958
Sunday Bada,M,27.0,188.0,79.0,Nigeria,1996,,22.351742870076958
Sunday Bada,M,31.0,188.0,79.0,Nigeria,2000,,22.351742870076958
Andrzej Stanisaw Badeski,M,21.0,173.0,68.0,Poland,1964,Bronze,22.720438370810918
Andrzej Stanisaw Badeski,M,25.0,173.0,68.0,Poland,1968,,22.720438370810918
Andrzej Stanisaw Badeski,M,29.0,173.0,68.0,Poland,1972,,22.720438370810918
"Andretti ""Dretti"" Bain",M,22.0,175.0,65.0,Bahamas,2008,,21.224489795918366
Salaheddine Bakar Al-Safi,M,20.0,185.0,68.0,Qatar,2000,,19.868517165814463
Jan Balachowski,M,19.0,183.0,76.0,Poland,1968,,22.694018931589476
Sean Michael Baldock,M,23.0,173.0,73.0,Great Britain,2000,,24.3910588392529
"James Allan ""Jimmy"" Ball",M,25.0,180.0,69.0,Canada,1928,Silver,21.296296296296298
"James Allan ""Jimmy"" Ball",M,29.0,180.0,69.0,Canada,1932,,21.296296296296298
tefan Balok,M,23.0,181.0,72.0,Slovakia,1996,,21.97735111870822
tefan Balok,M,27.0,181.0,72.0,Slovakia,2000,,21.97735111870822
Lewis Simon Banda,M,21.0,170.0,65.0,Zimbabwe,2004,,22.491349480968857
Lewis Simon Banda,M,25.0,170.0,65.0,Zimbabwe,2008,,22.491349480968857
Ferenc Bnhalmi,M,25.0,172.0,64.0,Hungary,1948,,21.63331530557058
Ferenc Bnhalmi,M,29.0,172.0,64.0,Hungary,1952,,21.63331530557058
Purma C. Bannerjee,M,,,,India,1920,,
"Raymond James ""Ray"" Barbuti",M,22.0,183.0,82.0,United States,1928,Gold,24.485652005136014
Nigel Chase Barker,M,23.0,,,Australia,1906,Bronze,
Daundre Barnaby,M,21.0,189.0,75.0,Canada,2012,,20.996052742084487
Lszl Barsi (Tomaschek-),M,23.0,,,Hungary,1928,,
Johann Bartl,M,22.0,,,Czechoslovakia,1928,,
John Lavers Bartram,M,23.0,173.0,68.0,Australia,1948,,22.720438370810918
Daniel Batman,M,19.0,171.0,71.0,Australia,2000,,24.28097534284053
"James Steven ""Jamie"" Baulch (Mills-)",M,27.0,173.0,71.0,Great Britain,2000,,23.722810651876106
Ajanew Bayene,M,20.0,,,Ethiopia,1956,,
Eugne Bayon,M,,,,France,1920,,
Martin Beckmann,M,21.0,,,Germany,1906,,
Alan Richard Bell,M,23.0,190.0,82.0,Great Britain,1980,,22.714681440443215
Marc Bellin du Coteau,M,22.0,,,France,1906,,
Sergio Bello,M,22.0,178.0,70.0,Italy,1964,,22.093170054286077
Sergio Bello,M,26.0,178.0,70.0,Italy,1968,,22.093170054286077
Jean-Didiace Bmou,M,25.0,184.0,71.0,Congo (Brazzaville),1984,,20.97117202268431
Jean-Didiace Bmou,M,29.0,184.0,71.0,Congo (Brazzaville),1988,,20.97117202268431
Lahlou Ben Youns,M,27.0,180.0,75.0,Morocco,1992,,23.14814814814815
"Timothy David ""Tim"" Benjamin",M,22.0,183.0,76.0,Great Britain,2004,,22.694018931589476
Todd Anthony Bennett,M,22.0,170.0,64.0,Great Britain,1984,,22.14532871972318
Todd Anthony Bennett,M,26.0,170.0,64.0,Great Britain,1988,,22.14532871972318
Kent Bede Bernard,M,22.0,185.0,77.0,Trinidad and Tobago,1964,,22.4981738495252
Giuseppe Bernardoni,M,,,,Italy,1920,,
Gilles Bertould,M,19.0,176.0,63.0,France,1968,,20.33832644628099
Gilles Bertould,M,23.0,176.0,63.0,France,1972,,20.33832644628099
Anas Beshr,M,23.0,,,Egypt,2016,,
"Timothy ""Tim"" Bethune",M,22.0,187.0,82.0,Canada,1984,,23.449340844748207
"Lawrence Butler Bradford ""Toby"" Betts",M,19.0,,,South Africa,1924,,
Tegegne Bezabeh,M,23.0,183.0,65.0,Ethiopia,1964,,19.409358296754156
Tegegne Bezabeh,M,27.0,183.0,65.0,Ethiopia,1968,,19.409358296754156
Tegegne Bezabeh,M,30.0,183.0,65.0,Ethiopia,1972,,19.409358296754156
Gyan Prakash Bhalla,M,26.0,,,India,1936,,
Martial Biguet,M,21.0,183.0,68.0,Central African Republic,1992,,20.305174833527428
Martial Biguet,M,25.0,183.0,68.0,Central African Republic,1996,,20.305174833527428
Abdul Rahim bin Ahmed,M,23.0,,,Malaya,1956,,
Klemens Biniakowski,M,25.0,172.0,62.0,Poland,1928,,20.9572742022715
Kalayathumkuzhi Mathews Binu,M,23.0,172.0,61.0,India,2004,,20.619253650621957
Kimitene Biyago,M,21.0,,72.0,Chad,1996,,
Roger Anthony Black,M,26.0,190.0,79.0,Great Britain,1992,,21.883656509695292
Roger Anthony Black,M,30.0,190.0,79.0,Great Britain,1996,Silver,21.883656509695292
Stuart Alexander Black,M,24.0,,,New Zealand,1932,,
Michael Blackwood,M,25.0,190.0,79.0,Jamaica,2004,,21.883656509695292
Michael Blackwood,M,29.0,190.0,79.0,Jamaica,2008,,21.883656509695292
Clyde Amel Blair,M,22.0,,,United States,1904,,
Dennis Anthony Blake,M,21.0,186.0,70.0,Jamaica,1992,,20.233553011908892
Hermann Matthias Blazejczak,M,24.0,179.0,76.0,Germany,1936,,23.719609250647608
Rupert Blch,M,23.0,,,Austria,1952,,
Dixon H. Boardman,M,20.0,,,United States,1900,,
Jean-Pierre Boccardo,M,22.0,188.0,72.0,France,1964,,20.371208691715708
dn Bodor (Krausz-),M,30.0,,,Hungary,1912,,
Glenn Bogue,M,20.0,173.0,67.0,Canada,1976,,22.386314277122523
Raymond Boisset,M,24.0,171.0,72.0,France,1936,,24.622960911049553
Geoffrey Sila Kibet Boit,M,,,,Kenya,1956,,
"David Benjamin ""Dave"" Bolen",M,24.0,175.0,68.0,United States,1948,,22.20408163265306
Jakob Pehr Anatole Dedekind Bolin,M,26.0,,,Sweden,1920,,
"Willem Victor ""Wim"" Bolten",M,23.0,,,Netherlands,1924,,
Giuseppe Bommarito,M,26.0,172.0,64.0,Italy,1960,,21.63331530557058
Naftali Bon,M,23.0,177.0,61.0,Kenya,1968,,19.470777873535702
Liemarvin Bonevacia,M,23.0,185.0,74.0,Individual Olympic Athletes,2012,,21.62162162162162
Liemarvin Bonevacia,M,27.0,185.0,74.0,Netherlands,2016,,21.62162162162162
Schalk David Booysen,M,24.0,,,South Africa,1952,,
Secundino Borabota Epacua,M,23.0,172.0,71.0,Equatorial Guinea,1984,,23.99945916711736
