Date,Longitude,Latitude
2016:002:00:00:00.0738,-25.00318,16.88367
2016:002:00:41:40.0788,-25.003556666666668,16.883796666666665
2016:002:01:23:20.0774,-25.003676666666667,16.883915000000002
2016:002:02:05:00.0729,-25.003343333333333,16.883671666666668
2016:002:02:46:40.0802,-25.003543333333333,16.883818333333334
2016:002:03:28:20.0735,-25.003428333333332,16.883698333333335
2016:002:04:10:00.0819,-25.003435,16.883725
2016:002:04:51:40.0752,-25.00362833333333,16.883855
2016:002:05:33:20.0825,-25.003693333333334,16.88388
2016:002:06:15:00.0729,-25.003611666666668,16.883835
2016:002:06:56:40.0763,-25.003465,16.883721666666666
2016:002:07:38:20.0796,-25.003736666666665,16.883928333333333
2016:002:08:20:00.0842,-25.00354,16.883861666666668
2016:002:09:01:40.0755,-24.997768333333333,16.88784
2016:002:09:43:20.0709,-24.997806666666666,16.888795000000002
2016:002:10:25:00.0690,-24.99780833333333,16.888795000000002
2016:002:11:06:40.0822,-24.997806666666666,16.888795000000002
2016:002:11:48:20.0794,-24.997806666666666,16.888795000000002
2016:002:12:30:00.0798,-24.997806666666666,16.888795000000002
2016:002:13:11:40.0822,-24.997806666666666,16.888793333333332
2016:002:13:53:20.0867,-24.997806666666666,16.888795000000002
2016:002:14:35:00.0751,-24.997806666666666,16.888793333333332
2016:002:15:16:40.0766,-24.99780833333333,16.888793333333332
2016:002:15:58:20.0770,-24.997806666666666,16.888793333333332
2016:002:16:40:00.0785,-24.997806666666666,16.888793333333332
2016:002:17:21:40.0810,-24.997806666666666,16.888793333333332
2016:002:18:03:20.0694,-24.997806666666666,16.888793333333332
2016:002:18:45:00.0758,-24.99781,16.888793333333332
2016:002:19:26:40.0820,-24.997806666666666,16.888795000000002
2016:002:20:08:20.0712,-24.99780833333333,16.888793333333332
2016:002:20:50:00.0775,-24.997806666666666,16.888791666666666
2016:002:21:31:40.0698,-24.99780833333333,16.888793333333332
2016:002:22:13:20.0772,-24.99780833333333,16.888793333333332
2016:002:22:55:00.0707,-24.997806666666666,16.888793333333332
2016:002:23:36:40.0792,-24.997805,16.888793333333332
2016:003:00:00:00.0701,-24.997805,16.888793333333332
2016:003:00:41:40.0761,-24.997805,16.888795000000002
2016:003:01:23:20.0813,-24.997806666666666,16.888795000000002
2016:003:02:05:00.0746,-24.997806666666666,16.888793333333332
2016:003:02:46:40.0690,-24.997806666666666,16.888795000000002
2016:003:03:28:20.0785,-24.997805,16.888793333333332
2016:003:04:10:00.0740,-24.997806666666666,16.888793333333332
2016:003:04:51:40.0834,-24.997806666666666,16.888795000000002
2016:003:05:33:20.0779,-24.997806666666666,16.888793333333332
2016:003:06:15:00.0734,-24.997805,16.888795000000002
2016:003:06:56:40.0840,-24.997806666666666,16.888793333333332
2016:003:07:38:20.0765,-24.997805,16.888793333333332
2016:003:08:20:00.0709,-24.997806666666666,16.888793333333332
2016:003:09:01:40.0804,-24.997806666666666,16.888793333333332
2016:003:09:43:20.0770,-24.997806666666666,16.888795000000002
2016:003:10:25:00.0735,-24.99780833333333,16.888793333333332
2016:003:11:06:40.0688,-24.997805,16.888793333333332
2016:003:11:48:20.0694,-24.997805,16.888793333333332
2016:003:12:30:00.0690,-24.997803333333334,16.88879
2016:003:13:11:40.0663,-24.997803333333334,16.888791666666666
2016:003:13:53:20.0829,-24.997801666666668,16.88879
2016:003:14:35:00.0685,-24.9978,16.88879
2016:003:15:16:40.0699,-24.9978,16.888791666666666
2016:003:15:58:20.0744,-24.9978,16.88879
2016:003:16:40:00.0746,-24.9978,16.888786666666668
2016:003:17:21:40.0718,-24.9978,16.888788333333334
2016:003:18:03:20.0676,-24.9978,16.888786666666668
2016:003:18:45:00.0768,-24.9978,16.888786666666668
2016:003:19:26:40.0732,-24.997801666666668,16.888786666666668
2016:003:20:08:20.0726,-24.997798333333332,16.888786666666668
2016:003:20:50:00.0721,-24.997801666666668,16.888786666666668
2016:003:21:31:40.0707,-24.997801666666668,16.888786666666668
2016:003:22:13:20.0833,-24.997803333333334,16.888786666666668
2016:003:22:55:00.0808,-24.997801666666668,16.888786666666668
2016:003:23:36:40.0804,-24.997801666666668,16.888786666666668
2016:004:00:00:00.0774,-24.9978,16.888786666666668
2016:004:00:41:40.0800,-24.997801666666668,16.888786666666668
2016:004:01:23:20.0806,-24.9978,16.888785
2016:004:02:05:01.0723,-24.997798333333332,16.888786666666668
2016:004:02:46:41.0729,-24.997801666666668,16.888788333333334
2016:004:03:28:21.0775,-24.997801666666668,16.888788333333334
2016:004:04:10:01.0832,-24.9978,16.888786666666668
2016:004:04:51:41.0768,-24.997801666666668,16.888786666666668
2016:004:05:33:21.0844,-24.9978,16.888785
2016:004:06:15:01.0780,-24.997801666666668,16.888786666666668
2016:004:06:56:41.0718,-24.997801666666668,16.888785
2016:004:07:38:21.0673,-24.9978,16.888785
2016:004:08:20:01.0780,-24.9978,16.888785
2016:004:09:01:41.0737,-24.9978,16.888786666666668
2016:004:09:43:21.0733,-24.997798333333332,16.888786666666668
2016:004:10:25:01.0711,-24.9978,16.888786666666668
2016:004:11:06:41.0678,-24.9978,16.888788333333334
2016:004:11:48:21.0805,-24.997798333333332,16.888786666666668
2016:004:12:30:01.0781,-24.997796666666666,16.888788333333334
2016:004:13:11:41.0768,-24.9978,16.888786666666668
2016:004:13:53:21.0716,-24.9978,16.888788333333334
2016:004:14:35:01.0683,-24.997803333333334,16.888785
2016:004:15:16:41.0839,-25.08224,16.890101666666666
2016:004:15:58:21.0706,-25.129531666666665,16.786301666666667
